#name,Babylon English-Korean
#version,2.4.2
#wordcount,68893
#synwordcount,61071
#idxfilesize,1256836
#author,Babylon Ltd.
#email,linguistic-support@babylon.com
#description,This comprehensive English-Korean dictionary contains words, phrases, abbreviations & acronyms. It includes terms from a vast variety of subjects, such as Medicine, Electronics, Zoology, Business, Computers, Religion, etc., and features both the American and British forms of spelling.
#sametypesequence,h
#sourceLang,English
#targetLang,Korean
#,n. 번호임을 나타내는 기호
%,n. 퍼센트를 나타내는 기호
&,n. 
WHO,n. 세계보건기구, 전세계에 살고 있는 사람들의 건강조건을 증진시키는 데 힘쓰는 유엔기구
who'd,v. 누가 ...할 것인가?, 의문문을 더욱 공손하게 할 때 사용되는 조동사
who'll,v. 누가 ...할 것이다, 다른 동사와 함께 미래 시제를 나타낼 때 사용되는)
whoa,interj. 우어우어
whodunit,n. 추리소설, 추리 영화, 추리 극
whoever,pron. 누구나; 누구?
whole,n. 전체, 완전, 총체; adj. 완전한; 전체의; 모든; 건강한
whole blood,n. 전혈, 완전한 부모 자식 관계, 친 부모 자식 관계
whole body,n. 전신
whole brother,부모가 같은 형제
whole cheese,n. 스타 선수, 유일한 중요 인물
whole city,n. 전시
whole colored,단색의
whole coloured,단색의
whole curriculum,n. 전과
whole gale,n. 전강풍
whole gamut,n. 전음계
whole grain,n. 정백하지 않은 곡물
whole hog,adv. 완전히, 철저히
whole hogger,극단론자, 철저한 지지자, 철저한 지지자추진자
whole holiday,n. 만 하루의 휴일, 전휴일
whole hoofed,단제의
whole house,n. 전원
whole length,전신상 사진
whole length figure,n. 전신상
whole life insurance,n. 종신 보험
whole line,n. 전선
whole meal,n. 전립 소맥분, 통밀가루, 통째로 빻은 밀가루
whole milk,전유
whole note,n. 온음표
whole number,정수
whole page,n. 전단
whole rest,n. 온쉼, 온쉼표
whole show,n. 스타 선수, 인기선수, 유일한 중요 인물, 일 전체, 만사
whole sister,n. 친자매
whole souled,마음으로부터의, 성의 있는
whole step,n. 온음, 온음정
whole surface,n. 전면
whole tone,온음, 온음정
whole uncut paper,n. 전지
whole wheat,밀기울을 빼지 않은 밀가루의
whole-hog,adj. 철저한, 완전한
wholefood,n. 무첨가 식물, 자연식품
wholehearted,adj. 헌신하는; 열성적인; 진심으로; 온 마음으로
wholeheartedly,adv. 온마음으로, 진정으로; 열정적으로
wholemeal,n. 정백하지 않은 밀가루(영국); adj. 정백하지 않은 밀가루의
wholeness,n. 전체, 총체, 일체, 완전, 흠없음, 정수성
wholesale,n. 대량판매, 묶어 팔기; adj. 대량 판매의; 도매급으로 판매되는; adv. 대량으로; 대규모로; 도매가로
wholesale merchant,n. 도매상
wholesale price index,n. 도매 물가 지수
wholesale prices,도매값
wholesaler,n. 도매업자
wholesome,adj. 유익한, 건전한; 건강해 보이는, 건강한, 영양섭취를 잘한
wholewheat,adj. 정백하지 않은 밀가루의
wholly,adv. 전적으로, 완전히
whoop,n. 열정적으로 소리지름; 색색거리는 숨소리; v. 열정적으로 소리지르다; 색색 거리며 숨쉬다
whoop it up,큰소리를 내며 떠들어 대다
whoopee,n. 와, 와하는 함성, 야단법석
whooping cough,백일해Pwhooping cough || 'hu02D0;p026A;014B;k0254;f /-k0252;f
whop,n. 때림; v. 때려눕히다, 벌떡 넘어지다
whopper,n. 때리는 사람, 구타하는 사람, 엄청난 것, 새빨간 거짓말, 바람
whopping,adj. 굉장한; adv. 엄청나게
whore,n. 매춘부; 창녀 (속어); v. 매춘하다, 사교에 빠지다
whoredom,n. 매춘, 배신 행위
whorehouse,n. 매음굴
whoreson,n. 사생아
whorl,n. 윤생체, 소용돌이꼴, 와우각의 소용돌이
whortleberry,n. 산앵도나무 무리
whose,pron. 누구의?; 누구 것
why,n. 이유; 무슨 이유로?; 무엇 때문에?; adv. 왜?; 무슨 이유로?; conj. 왜; 때문에; interj. 어머, 뭐라고, 저
wick,n. 심지; 고름을 빨아내는 가제
wicked,adj. 사악한, 심술궂은; 악의 있는; 부당한; 위험한; 불쾌한
wicked woman,간부
wickedly,adj. 사악하게
wickedness,n. 사악; 잔인함
wicker,n. 잔가지로 얽어 만든 물건; 잔가지; adj. 잔가지로 얽어만든
wicker basket,바구니
wicker work,n. 고리버들 세공
wicket,n. 작은 문, 이크스형 회전문, 작은 창, 창구, 삼주문, 문
wickiup,n. 나뭇가지로 엮어 만든 원뿔꼴 오두막집, 임시 오두막집
wide,n. 넓은 이 세상, 넓은 장소, 투수의 폭투구; adj. 넓은; 폭이 넓은; 공간이 넓은; 광활한, 뚫린; 목표에서 동떨어진; 약삭빠른, 영리한(속어); adv. 광범하게; 널리; 넓게; 완전히; 빗나가서
wide awake,매우 경계하는, 깨어있는
wide expanse of land,n. 펄
wide open,넓게 열린
wide reputation,n. 지명
wide screen,와이드스크린
widely,adv. 넓게; 대단히; 유명하게
widen,v. 넓히다, 넓게 하다; 넓어지다, 벌어지다
widened,adj. 넓어진
widening,n. 확장; adj. 확장하는; 넓게하는
widespread,adj. 만연된, 유행하는; 펼친, 광범한
widespreading,adj. 넓게 퍼진; 펼치는
widgeon,n. 홍머리오리
widish,adj. 다소 넓은
widow,n. 미망인, 과부; v. 과부가 되게 하다, 빼앗다
widowed,adj. 미망인이 된, 과부가 된
widower,n. 홀아비
widowerhood,n. 홀아비 생활, 홀아비 생활기간
widowhood,n. 과부 신세
width,n. 폭, 너비
wield,v. 휘두르다, 권력을 행사하다; 교묘하게 무기를 다루다; 지배하다
wieldy,adj. 휘두르기 쉬운
wienerwurst,n. 비엔나소시지
wife,n. 아내, 처; 특정한 역할을 수행하는 여자(예. 산파); 여성(구표현)
wife of one's elder brother,n. 형수
wife's father,n. 장인
wifeless,adj. 아내가 없는
wifely,adj. 아내다운
wig,n. 가발; v. 가발을 씌우다, 몹시 꾸짖다, 성가시게 하다, 귀찮게 하다, 화나게 하다, 당황하게 하다, 흥분하게 하다
wig out,v. 몹시 흥분시키다
wigged,adj. 가발을 쓴
wigging,n. 책망, 양의 눈 언저리털 깎기
wiggle,n. 흔들어댐; 구불구불한 길; v. 뒤흔들다, 몸을 흔들다; 이쪽저쪽으로 움직이다; 어떤것을 흔들다
wiggle its tail,v. 꼬리치다
wiggle waggle,흔들다
Wight,n. 사람, 인간, 초자연적 존재, 생물
wigmaker,n. 가발 제조가; 가발 판매자
wigs on the green,붙잡고 싸움
wigwag,n. 신호법, 수기 신호, 수기등화 신호; v. 흔들다, 신호하다
wigwam,n. 북아메리칸 인디언의 오막집, 임시 건축의 대회장, 태머니홀
wild,n. 황무지, 야생지, 사막; adj. 야만의; 야생의; 길들여지지 않은; 황폐한; 방종하는; 난폭한; 제멋대로 날뛰는; 거친, 사나운; 광란의, 미친듯한; 터무니 없는; adv. 거칠게, 야생적으로; 제어할 수 없이
wild a person,v. ...을 발광하게 만들다
wild about,...에 열중하다
wild and woolly,adj. 거친
wild beast,야수
wild boar,멧돼지
wild duck,물오리
wild goose,기러기PMwa026A;ldgu02D0;s
wild horse,n. 야마
wild ox,n. 들소
wild rage,n. 노발대발
wild rumor,n. 부설
wildcat,n. 살쾡이, 성급한 사람, 소형 기관차, 시굴정; adj. 무모한
Wilde,n. 와일드, 오스카 와일드(1854-1900, 본명 오스카 핑갈 오플래허티 윌스 와일드), 아일랜드 시인 겸 극작가
wildebeest,n. 암소 비슷한 영양
wilderness,n. 황야; 산림지대, 숲; 사막; 산맥; 사람이 살지 않는 지역; 야생동물이 살 수 있게 한 정원; 초목이 마구 우거진 곳
wildfire,n. 불타는 액체, 들불, 번갯불
wildflower,n. 야생화, 들꽃
wildfowl,n. 엽조
wilding,n. 야생 식물, 야수, 법석 떨음; adj. 야생의
wildlife,n. 야생 생물; 자연에서 사는 동물
wildly,adv. 잔인하게, 미치게
wildman,n. 야만인, 과격분자, 오랑우탄
wile,n. 책략; v. 속이다, 즐겁게 보내다
wilful,adj. 고집센, 완고한; 의도적인, 결정된
wilfully,adv. 억지로, 고의로; 고집세게; 결정적으로
wilfulness,n. 아집, 외고집; 나쁜의도; 결정
Wilhem,n. 빌헴, 성
wiliness,n. 교활
will,n. 의지; 의지력; 원함; 결의; 의욕; n. 유언, 유서; v. 원하다; 의지력으로 행하다; 의지력을 불러일으키다; 명령하다; 결의하다; v. 미래 시제를 나타낼 때 사용되는 조동사
will o' the wisp,도깨비불, 사람을 호리는 것, 사람을 호리는 사람, 미혹시키는 것, 미혹시키는 사람, 달성할 수 없는 목표, 달성할 수 없는 소망
will power,의지력
will to fight,n. 전의
willed,adj. 특별한 의지를 가진( 예;강한 의지의)
willful,adj. 고집센, 완고한; 의도적인, 결정된
willfully,adv. 억지로, 고의로; 고집세게; 결정적으로
willfulness,n. 아집, 외고집; 의도적임; 결정
William,n. 윌리암, 영국 왕들의 이름; 남자 이름
willies,n. 겁
willing,adj. 기꺼이 ...하는; ...하기를 꺼리지 않는; 동의하는, 준비가 된; 반대하지 않는
willingly,adv. 기꺼이; 자발적으로; 흥쾌히
willingness,n. 쾌히 하기, 자진하여 하기
willow,n. 버드나무; 크리켓의 방망이; 솜틀, 섬유를 깨끗하게 하고 느슨하게 하는 기계; v. 솜틀로 틀다
willowy,adj. 유연한, 탄력있는; 키가 큰, 곧은; 날씬한; 버드나무로 그늘진; 버드나무와 같은
willpower,n. 의지력
willy nilly,윌리윌리
Wilt,n. 장승병; v. 이울다, 풀이 죽다, 이울게 하다, 약하게 하다
Wilton,n. 윌턴 양탄자
wily,adj. 꾀가 많은, 음흉한
wimble,n. 송곳; v. 송곳으로 구멍을 뚫다
wimple,n. 수녀의 쓰개, 옷주름, 잔물결; v. 베일로 싸다, 고깔로 싸다, 잔물결을 일으키다, 주름잡히다, 굽이지다, 잔물결이 일다, 비틀비틀 움직이다
win,n. 승리; 일등; 상금; v. 이기다; 얻다; 획득하다; 노력하여..에 이르다; 성공하다; 얻어내다; 설득하다; 신용 또는 인정 등을 얻다
win a prize,입상하다
win back,되찾다
win by,v. 모면하다
win hands down,손쉽게 이기다
win in a walk,v. 쉽게 이기다
win one's bread,빵을 벌다, 끼니를 벌다
win one's spurs,영광을 차지하다, 명예를 차지하다
win one's way,장애를 물리치고 나아가다
win or lose,이기든 지든
win out,완수하다
win over,끌어들이다?
win over to one's side,v. 포섭하다
win round,v. 자기편으로 끌어넣다
win the day,싸움에 이기다
win the field,논쟁에 이기다
win through,수행하다, 완수하다
win up,v. 일어나다
Winamp,n. 윈앰프, 엠피쓰리 포맷에서 음악파일을 연주하게 하는 컴퓨터 프로그램
wince,n. 주춤함, 위축; v. 움츠리다; 주춤하다
winch,n. 윈치, 굽은 축, 엘르자 손잡이, 윈스; v. 윈치로 감아 올리다
Winchester,n. 윈체스터, 윈체스터식 연발총, 후장식 연발총, 반 갈론, 반 갈론들이 병
wind,n. 바람; 바람의 방향; 강풍; 입김; 관악기(음악); 위장안의 가스; 사회적 또는 정치적 기류; 낌새; 헛소리; 허풍, 빈말; v. 바람을 통하다, 굽이치다, 냄새를 맡아 알아내다, 헐떡이다, 꾸불거리다, 휘다, 감기다, 감다, 감아 올리다, 돌리다, 불다, 지르다, 일으키다, 각적을 불다; n. 감김; 굽음; 굴곡; v. 휘감다, 돌돌 말다; 꾸불꾸불 휘어지다; 나선형으로 만들다
wind abaft,n. 정후풍
wind ahead,n. 정수풍
wind aided,adj. 바람을 등진, 순풍을 탄
wind and dew,n. 풍로
wind and waves,n. 풍파
wind around,v. 휘감다
wind band,n. 악단, 군악대, 취주 부, 관악 부
wind bell with a,n. 풍경
wind borne,adj. 바람으로 운반되는
wind bound,바람 때문에 항행할 수 없는, 바람에 묶인
wind box,n. 바람 상자, 오르간, 아코디언
wind chest,n. 바람통
wind chimes,n. 매단 장식물
wind cone,n. 풍향 기드림, 바람개비
wind down,단계적 축소, 단계적 진정
wind drag,n. 공기 저항
wind egg,n. 무정란
wind farm,n. 풍력 기지, 풍력발전 지역, 풍력발전 시설
wind force,n. 풍력, 바람의 힘
wind furnace,n. 풍로
wind gap,n. 풍극
wind gauge,풍력계, 풍속계, 풍압계
wind harp,n. 풍명금
wind hazard,n. 풍해
wind instrument,관악기, 취주악기Pwind instrument || w026A;nd026A;nstr0259;m0259;nt
wind loading,n. 풍압
wind machine,n. 바람 소리 내는 장치
wind meter,n. 풍력계, 풍속계
wind off,되풀다
wind pollinated,adj. 풍매의, 풍매 수분의
wind pressure,n. 풍압
wind pump,n. 풍력 펌프, 풍차 펌프
wind rose,풍배도
wind round one's little fingers,...을 마음대로 부리다
wind scale,n. 풍력 등급, 풍력계급
wind shake,n. 풍렬
wind shear,n. 바람 시어
wind sleeve,n. 풍향계
wind sock,풍향계, 바람개비
wind sprint,n. 연습으로뛰는 단거리 경주
wind surf,v. 윈드서핑을 하다
wind swift,adj. 바람처럼 빠른
wind tee,n. 티꼴 바람개비, 티형 착륙 표지
wind tunnel,풍동, 풍동 항공기의 모의 실험용
wind turbine,n. 풍력 터빈
wind up,다 감다, 긴장시키다, 끝을 맺다, 폐업하다, 와인드업하다
wind vane,n. 풍향계
windage,n. 바람, 편류, 편차의 조절, 유극, 풍손, 풍압면, 공기압
windbag,n. 공기 주머니, 풀무, 가슴, 수다쟁이, 쓸데없는 말을 늘어놓는 사람
windblast,n. 돌풍, 윈드블래스트
windblown,adj. 바람에 날린; 바람에 날려 구부러진, 바람 때문에 특정한 모양이 된
windblown dust,n. 풍진
windbreak,n. 방풍림, 바람막이, 방풍 시설, 방풍벽, 바람에 의한 꺾임
windbreaker,n. 스포츠용 재킷의 일종, 비바람을 막는 모자가 달린 옷
windburn,n. 바람에 의한 피부염, 바람에 의한 잎의 상처, 바람에 의한 나무 껍질의 상처
windchill factor,n. 풍속 냉각 지수
windchill index,n. 풍속 냉각 지수
winded,adj. 바람공기에 쏘인, 바람에 쏘인, 숨이 찬, 호흡이 ...한
winder,n. 감는 사람, 감는 것, 감는 기계, 실패, 덩굴 식물, 나선식 계단
windfall,n. 바람에 떨어진 것(과일 등); 횡재; 기대치 않았던 유산
windfall loss,우연의 손실, 의외의 손실
windfall profit,n. 초과 이윤, 우발 이익, 불로 소득, 의외의 이윤
windfall profit tax,n. 초과 이윤세
windflaw,n. 돌풍
windily,adv. 바람이 일게; 속이 텅비게, 말만으로; 수다스럽게, 허풍스럽게
windiness,n. 바람이 일기, 폭풍이 닥칠 것 같은 기미, 수다
winding,n. 감기; 구부리기; 전선의 타래; v. 감다; 구부리다; 싸다; 방향을 바꾸다; adj. 감긴, 비뚤어지게; 둘둘 감긴
winding engine,n. 감아올리는 엔진
winding frame,n. 감는 틀, 감는 기기
winding sheet,수의, 촛농, 시체 싸는 천
winding staircase,나선식 계단
winding up,n. 결말, 청산, 정리 해산
winding up sale,n. 점포 정리 특매
windingly,adv. 꾸불꾸불 하게
windjammer,n. 돛단배, 그 사공, 허풍선이
windlass,n. 윈치, 권양기, 권양기로 감아 올리다
windlass bitt,n. 양묘기 기둥
windless,adj. 바람 없는, 잔잔한, 숨이 찬
windlestraw,n. 길죽한 건초의 줄기, 줄기가 긴 풀, 가볍고 약한 것, 가볍고 약한 사람, 키 크고 여윈 사람, 키 크고 병약한 사람
windmill,n. 풍차
window,n. 창문, 창틀, 장식창, 창구, 창, 윈도, 관찰할 기회, 실행 기간, 예정기일의 차이; v. 창을 내다
window based,adj. 윈도를 사용한 디스플레이를 채택하고 있는
window blind,n. 블라인드
window box,화초 가꾸는 상자, 창추함
window curtain,창문 커튼
window display,n. 쇼윈도의 상품 진열
window dress,v. ...의 체재를 갖추다, ...을 겉치레하다
window dresser,n. 쇼윈도 장식가, 장식자, 사실을 그럴듯하게 속이는 사람
window dressing,진열창 장식, 진열창 장식법, 겉치레, 눈속임
window envelope,창 달린 봉투
window facing the south,n. 남창
window frame,n. 창틀
window glass,n. 창유리
window ledge,n. 창문 아래턱
window of vulnerability,n. 취약성의 창
window sash,n. 창틀
window seat,창 아래의 걸상, 창가의 좌석
window shade,n. 차양, 블라인드
window shop,v. 진열창 안을 들여다보며 다니다, 진열창 안의 상품을 들여다보며 다니다
window shopping,진열창 안의 물건을 들여다보며
windowless,adj. 창문이 없는
windowpane,n. 창유리
windowsill,n. 창턱
windpipe,n. 기도, 목에 있는 숨쉴 때 사용되는 관
windproof,adj. 방풍의
winds,v. 휘감다, 돌돌 말다; 꾸불꾸불 휘어지다; 나선형으로 만들다
windscreen,n. 방풍 유리 또는 판넬; 자동차 앞면의 방풍 유리
windshield,n. 바람막이 유리
windshield wiper,유리 닦개?
windsor chair,등이 높은 나무 의자의 일종
windstorm,n. 폭풍
windsurf,v. 파도타기 하다
windsurfer,n. 윈드 써핑 하는 사람
windsurfing,n. 윈드서핑
windswept,adj. 바람 받이의
